title,company,location,skills,description,salary,job_type
Python Developer,TechNova Solutions,Chennai,"Python, Flask, SQL, Git, REST API",Develop high-performance web applications and backend APIs using Flask and Python. Manage database schemas and queries using SQL.,6-9 LPA,Full Time
Senior Python Engineer,DataCraft Analytics,Bengaluru,"Python, Django, PostgreSQL, Docker, AWS, REST API",Lead the design and development of scalable cloud backend architectures and RESTful microservices.,12-18 LPA,Full Time
Full Stack Developer,WebSphere Systems,Hyderabad,"Python, Flask, JavaScript, HTML, CSS, React, MySQL",Build end-to-end web applications featuring modern interactive user interfaces and robust Python Flask backends.,8-12 LPA,Full Time
Frontend Developer,PixelCraft Studio,Mumbai,"JavaScript, HTML, CSS, React, Git",Create responsive pixel-perfect web interfaces and dynamic front-end components using React HTML5 and modern CSS3.,5-8 LPA,Full Time
Backend Developer,CloudScale Labs,Pune,"Java, Spring Boot, MySQL, REST API, Docker",Design and maintain high-throughput backend services and secure microservices utilizing Java enterprise frameworks.,7-11 LPA,Full Time
Data Analyst,Insightful Tech,Bengaluru,"Python, SQL, Pandas, NumPy, Scikit-learn",Perform statistical data analysis extract operational insights and build predictive dashboards for enterprise clients.,6-10 LPA,Full Time
Data Scientist,AI Core Innovations,Hyderabad,"Python, Scikit-learn, Pandas, NumPy, Machine Learning, SQL",Develop predictive analytics models and advanced machine learning algorithms to drive automated business intelligence.,14-20 LPA,Full Time
Machine Learning Engineer,DeepMind Solutions,Gurugram,"Python, Machine Learning, Scikit-learn, Pandas, NumPy, Docker",Deploy production-grade machine learning models scalable inference APIs and data pipelines on cloud infrastructure.,12-18 LPA,Full Time
Java Developer,Enterprise Core Tech,Noida,"Java, C++, SQL, Data Structures, OOP, DBMS",Engineers high-performance multithreaded backend applications and database transactions for core banking platforms.,6-9 LPA,Full Time
Software Developer,Global Codeworks,Chennai,"C++, C, Python, Data Structures, OOP, Git",Construct robust core application logic object-oriented modules and optimized algorithms for desktop enterprise suites.,5-8 LPA,Full Time
Web Developer,Digital Synergy,Kolkata,"HTML, CSS, JavaScript, PHP, MySQL, WordPress",Design user-friendly responsive business websites e-commerce frontends and content management systems.,4-7 LPA,Full Time
DevOps Engineer,CloudOps Inc,Bengaluru,"Linux, Docker, AWS, Azure, Git, Cyber Security",Automate continuous integration pipelines container orchestration and cloud security infrastructure management.,10-15 LPA,Full Time
Cyber Security Analyst,SecureNet Solutions,Mumbai,"Cyber Security, Computer Networks, Linux, Python, SQL",Monitor network security events perform vulnerability audits and enforce robust infrastructure defense protocols.,7-12 LPA,Full Time
Database Administrator,DataVault Systems,Pune,"SQL, MySQL, DBMS, Linux, AWS",Manage high-availability database clusters query optimization automated backups and enterprise schema security.,8-13 LPA,Full Time
Cloud Solutions Architect,Skyline Cloud,Hyderabad,"AWS, Azure, Cloud Computing, Docker, Linux, REST API",Architect scalable multi-cloud infrastructure solutions automated microservice networks and cloud storage systems.,16-24 LPA,Full Time
React Frontend Specialist,Nexus Interactive,Bengaluru,"React, JavaScript, HTML, CSS, REST API, Git",Build state-driven web applications single page interfaces and progressive web applications using React.,7-10 LPA,Full Time
Django Backend Engineer,Apex Software,Chennai,"Python, Django, SQL, PostgreSQL, REST API, Git",Build secure Django web applications optimize ORM queries and deliver robust REST APIs for enterprise clients.,8-11 LPA,Full Time
AI Research Engineer,Cognitive Labs,Bengaluru,"Python, Machine Learning, Scikit-learn, Pandas, NumPy, Data Structures",Research state-of-the-art machine learning algorithms optimize neural models and publish experimental benchmarks.,15-22 LPA,Full Time
Full Stack Web Specialist,CodeVerse Studio,Delhi NCR,"JavaScript, Node.js, React, HTML, CSS, MongoDB, Git",Develop modern full stack web applications using Node.js React and MongoDB databases.,7-11 LPA,Full Time
Junior Software Engineer,InnoTech Labs,Ahmedabad,"Python, Java, HTML, CSS, SQL, Git, OOP",Contribute to enterprise application suites write clean unit-tested code and collaborate with cross-functional dev teams.,4-6 LPA,Full Time
